2024-09-05 18:14:33,507 INFO    StreamThr :45665 [internal.py:wandb_internal():85] W&B internal server running at pid: 45665, started at: 2024-09-05 18:14:33.506946
2024-09-05 18:14:33,508 DEBUG   HandlerThread:45665 [handler.py:handle_request():158] handle_request: status
2024-09-05 18:14:33,509 INFO    WriterThread:45665 [datastore.py:open_for_write():87] open: /Users/nhassen/Documents/MLOPS/code/gihub/Quantile-energy-Flow-with-GFN/wandb/run-20240905_181433-qehjs89z/run-qehjs89z.wandb
2024-09-05 18:14:33,510 DEBUG   SenderThread:45665 [sender.py:send():391] send: header
2024-09-05 18:14:33,538 DEBUG   SenderThread:45665 [sender.py:send():391] send: run
2024-09-05 18:14:33,770 INFO    SenderThread:45665 [dir_watcher.py:__init__():211] watching files in: /Users/nhassen/Documents/MLOPS/code/gihub/Quantile-energy-Flow-with-GFN/wandb/run-20240905_181433-qehjs89z/files
2024-09-05 18:14:33,770 INFO    SenderThread:45665 [sender.py:_start_run_threads():1200] run started: qehjs89z with start time 1725574473.507463
2024-09-05 18:14:33,780 DEBUG   HandlerThread:45665 [handler.py:handle_request():158] handle_request: run_start
2024-09-05 18:14:33,796 DEBUG   HandlerThread:45665 [system_info.py:__init__():26] System info init
2024-09-05 18:14:33,796 DEBUG   HandlerThread:45665 [system_info.py:__init__():41] System info init done
2024-09-05 18:14:33,796 INFO    HandlerThread:45665 [system_monitor.py:start():194] Starting system monitor
2024-09-05 18:14:33,796 INFO    SystemMonitor:45665 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-05 18:14:33,796 INFO    HandlerThread:45665 [system_monitor.py:probe():214] Collecting system info
2024-09-05 18:14:33,798 INFO    SystemMonitor:45665 [interfaces.py:start():188] Started cpu monitoring
2024-09-05 18:14:33,798 INFO    SystemMonitor:45665 [interfaces.py:start():188] Started disk monitoring
2024-09-05 18:14:33,800 INFO    SystemMonitor:45665 [interfaces.py:start():188] Started gpuapple monitoring
2024-09-05 18:14:33,802 INFO    SystemMonitor:45665 [interfaces.py:start():188] Started memory monitoring
2024-09-05 18:14:33,806 INFO    SystemMonitor:45665 [interfaces.py:start():188] Started network monitoring
2024-09-05 18:14:34,283 DEBUG   HandlerThread:45665 [system_info.py:probe():152] Probing system
2024-09-05 18:14:34,292 DEBUG   HandlerThread:45665 [system_info.py:_probe_git():137] Probing git
2024-09-05 18:14:34,334 DEBUG   HandlerThread:45665 [system_info.py:_probe_git():145] Probing git done
2024-09-05 18:14:34,334 DEBUG   HandlerThread:45665 [system_info.py:probe():200] Probing system done
